Country_France,Country_Germany,Country_Spain,CreditScore,IsMale,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn
1,0,0,-0.11161835430575796,0,-0.7799127248616752,1.3787864243128125,1.006375209226685,-0.9119768643560601,1,0,-0.890422587380091,0
1,0,0,1.8309588436183755,1,-0.06348068060568095,-0.004996995683319224,-1.2178024128807845,0.8075325865946118,0,0,0.06208931173720798,0
1,0,0,-1.5659542244093874,0,-0.47287042018053477,0.3409488593157137,-1.2178024128807845,-0.9119768643560601,1,1,0.7061688129304625,0
0,1,0,1.602420349744948,1,1.7787731474811612,0.3409488593157137,1.2137193815178402,-0.9119768643560601,1,0,-0.9226528389953935,1
0,0,1,-1.2646989370307784,1,-0.06348068060568095,0.6868947143147466,0.3814436509120916,0.8075325865946118,1,0,-0.16528566221261143,1
1,0,0,0.9168048681246657,0,-1.189302464436529,0.3409488593157137,-1.2178024128807845,-0.9119768643560601,1,1,-0.734791322712823,0
1,0,0,0.5428327872408752,1,-0.1658281154993944,-1.388780415679451,1.181039933268739,-0.9119768643560601,1,0,-1.3785143130782316,1
1,0,0,0.2519656132201494,0,0.03886675428803252,0.3409488593157137,-1.2178024128807845,0.8075325865946118,0,0,-0.2844172577162543,0
1,0,0,0.5843852406724075,0,1.062341103225167,1.7247322793118454,-1.2178024128807845,-0.9119768643560601,1,0,-0.2922789661867962,1
0,1,0,0.2104131597886171,0,0.8576462334377402,0.6868947143147466,0.6178849154199236,0.8075325865946118,1,0,0.9313991459862833,1
1,0,0,-0.8076219492839234,1,-1.2916498993302425,1.0328405693137797,0.16405847023262649,0.8075325865946118,1,1,-0.16665803722732805,0
0,1,0,2.0698854508496862,0,0.14121418918174597,0.6868947143147466,0.4552419471257574,-0.9119768643560601,1,1,-1.724945259022757,0
0,1,0,-1.0984891233046492,1,-0.1658281154993944,1.3787864243128125,0.5518936405798479,-0.9119768643560601,1,1,0.48184613622960076,0
0,0,1,0.2935180666516816,1,-0.5752178550742483,-0.35094285068235215,0.3216611524873439,-0.9119768643560601,1,0,-1.7175336324037913,0
1,0,0,0.4701159937356938,0,-0.5752178550742483,-0.35094285068235215,-1.2178024128807845,0.8075325865946118,1,1,-0.4594926508138454,0
0,1,0,0.2935180666516816,1,0.03886675428803252,-1.042834560680418,1.123763882740051,0.8075325865946118,1,1,1.6419839473626183,0
0,0,1,0.8856405280510165,0,-1.2916498993302425,-0.35094285068235215,0.9588273416299543,-0.9119768643560601,1,1,1.149168888814817,0
1,0,0,0.32468240672533083,0,0.44825649386288635,-0.004996995683319224,0.7980545986447339,-0.9119768643560601,1,1,1.63055085769583,0
0,0,1,-0.7868457225681573,0,-1.7010396389050964,1.0328405693137797,0.4677283760169519,-0.9119768643560601,1,1,-1.1386156330043982,0
0,0,1,-1.5347898843357382,1,-0.7799127248616752,-0.35094285068235215,-1.2178024128807845,0.8075325865946118,1,1,-1.3608166695098318,0
0,1,0,1.5712560096712989,0,0.24356162407545942,-0.35094285068235215,0.23592519339040144,0.8075325865946118,0,1,1.210009744231721,0
